run,time,nnz,rmse
39,750.0004511,140989247,0.9441843692
39,760.000381,143694686,0.9420287181
39,770.0031469,145443124,0.9399091634
39,780.0001521,147132844,0.9379195835
39,790.0011318,148850983,0.9359170665
39,800.0006056,150566956,0.9339287437
39,810.0003176,152352291,0.9318907438
39,820.0004566,155062755,0.9315773715
39,830.000463,156742665,0.9297117863
39,840.0005848,158458312,0.9278365501
39,850.0003843,160242695,0.9259232408
39,860.0012553,161949642,0.9240772629
39,870.0007751,163785265,0.9221496574
39,880.0009272,165504592,0.9203509882
39,890.0000234,168186262,0.9201143159
39,900.0000403,169890021,0.9184220715
39,910.0000658,171604367,0.9167199455
39,920.0007401,173376016,0.9149759369
39,930.0000572,175085567,0.9132720568
39,940.000319,176867823,0.9115545221
39,950.0009751,179645385,0.9112867843
39,960.001034,181331908,0.9096930619
39,970.0000947,183071873,0.9080559167
39,980.0007842,184836037,0.9064075839
39,990.0003362,186613048,0.9047882569
39,1000.000431,188328503,0.9032182601
39,1010.000804,191068713,0.9018744499
39,1020.000447,192774281,0.9003819744
39,1030.00018,194566948,0.898837979
39,1040.000769,196227722,0.8973855763
39,1050.000756,197945897,0.895920793
39,1060.002825,199771271,0.8943698397
39,1070.000454,201441054,0.8929523125
39,1080.001199,204170252,0.8918533915
39,1090.000698,205864567,0.8904312499
39,1100.000955,207613642,0.8890078327
39,1110.000991,209363598,0.8875838851
39,1120.000546,211139991,0.8861540282
39,1130.000113,212872434,0.8847617311
39,1140.000589,215603286,0.8837438968
39,1150.000445,217306576,0.8824179418
39,1160.000269,219077126,0.8810659282
39,1170.000413,220783408,0.8797855654
39,1180.000522,222586740,0.8784263921
39,1190.001068,224293072,0.8771370038
39,1200.000034,226959912,0.8759957366
40,10.00376606,2152983,2.143801636
40,20.00206137,4384099,1.832515728
40,30.00064468,6660261,1.672179603
40,40.00408936,8934973,1.566241612
40,50.00349236,11632954,1.520408088
40,60.00086236,13946472,1.459252125
40,70.00077963,16192105,1.4105227
40,80.00349641,18486415,1.370038913
40,90.00137019,21194215,1.339383875
40,100.0005693,23464821,1.309889656
40,110.003135,25769070,1.283779879
40,120.0008233,28036890,1.26095845
40,130.0003226,30728999,1.242384332
40,140.0003693,33022471,1.22404161
40,150.0004289,35303783,1.207589699
40,160.0001945,37574567,1.192343044
40,170.000421,40311497,1.179634593
40,180.0067754,42596631,1.166838619
40,190.001291,44876929,1.155156727
40,200.0009196,47151017,1.144017643
40,210.0012338,49883721,1.13444595
40,220.0001483,52156494,1.124854827
40,230.0007119,54433374,1.115701871
40,240.0000019,56728027,1.107034866
40,250.0022895,59422108,1.099710869
40,260.001251,61687921,1.091957649
40,270.000114,63997138,1.084519083
40,280.0046837,66280061,1.077415731
40,290.0018585,68968077,1.071645406
40,300.0032451,71286711,1.065133805
40,310.0032656,73540976,1.058960915
40,320.0011303,75866761,1.052898504
40,330.002635,78553751,1.048120054
40,340.000737,80866122,1.04256227
40,350.0019143,83130758,1.037279818
40,360.00142,85419200,1.032181643
40,370.0012167,88187660,1.027179937
40,380.0004852,90462260,1.022482893
40,390.0042462,92760063,1.017849388
40,400.0014508,95021292,1.013466868
40,410.00332,97288433,1.009172849
40,420.0005906,100034990,1.004963805
40,430.0037644,102304885,1.000922266
40,440.0002429,104553871,0.9970520498
40,450.0003955,106844800,0.9932360586
40,460.0030715,109566679,0.9904489987
40,470.0040882,111824383,0.986888592
40,480.000206,114110811,0.9833773649
40,490.0004559,116846399,0.9799806424
40,500.0006618,119120060,0.9767192805
40,510.0007651,121385071,0.9734904347
40,520.0000854,123697619,0.9703205335
40,530.0010684,125964972,0.967235277
40,540.0010529,128704180,0.9651335407
40,550.002918,130974113,0.9621481747
40,560.0006213,133244614,0.9592348755
40,570.0034947,135558195,0.9563718233
40,580.0017517,138258689,0.9537312543
40,590.0035737,140542581,0.9509863103
40,600.0022905,142867002,0.9482822587
40,610.0001979,145141424,0.9456750913
40,620.0016918,147854202,0.9431984541
40,630.0000117,150135573,0.9406882269
40,640.0043514,152410087,0.9382196347
40,650.000344,154701714,0.9357993563
40,660.0004013,157386847,0.9342461754
40,670.0001774,159707139,0.9318590404
40,680.0002699,161945803,0.9295763823
40,690.0001261,164243099,0.9273038831
40,700.0010405,166990731,0.925768178
40,710.0018079,169243370,0.9235782265
40,720.002708,171553393,0.9214008506
40,730.0018778,173816937,0.9193010579
40,740.0014482,176569233,0.9179435861
40,750.000191,178854218,0.9158660854
40,760.0001497,181109826,0.913833277
40,770.0026197,183432954,0.9118051308
40,780.0002711,186109349,0.9099033581
40,790.0019851,188424777,0.9079499687
40,800.0030951,190654608,0.9060652086
40,810.0015333,192981927,0.9041635772
40,820.0039604,195649969,0.9030503232
40,830.0018141,197913129,0.901204633
40,840.0113399,200232827,0.8993687489
40,850.001312,202499811,0.8975803936
40,860.0038953,204828362,0.8957932242
40,870.0052719,207515656,0.8941616486
40,880.0016377,209861238,0.8924248113
40,890.0000398,212109171,0.8907312343
40,900.0021954,214370326,0.8890425831
40,910.0008922,217092428,0.8875483336
40,920.0004864,219346624,0.8859041318
40,930.0015008,221663775,0.8842712156
40,940.0012372,223918318,0.8826733985
40,950.0017071,226625408,0.881287284
40,960.0027435,228940826,0.8797377649
40,970.0005603,231225211,0.878189296
40,980.0001359,233518706,0.8766678169
40,990.0014017,236210731,0.8754069582
40,1000.003578,238471820,0.8739275991
40,1010.001182,240750512,0.8724676611
40,1020.005123,243062742,0.8710099786
40,1030.000427,245760495,0.8702554158
40,1040.001902,248060972,0.8688203882
40,1050.001116,250328918,0.8674049762
40,1060.000999,252579045,0.8660117976
40,1070.000379,255326152,0.8646811772
40,1080.000956,257568557,0.8633282809
40,1090.000097,259897773,0.8619507056
40,1100.001347,262129102,0.8606229149
40,1110.002084,264844913,0.8593982558
40,1120.000665,267134464,0.8580881157
40,1130.000097,269411418,0.8567934656
40,1140.001843,271658973,0.8555115116
40,1150.002715,274407620,0.8548922987
40,1160.001997,276668053,0.8536353648
40,1170.000261,278951720,0.8523947326
40,1180.004964,281259263,0.851155325
40,1190.00411,283992561,0.8505009839
40,1200.000482,286227548,0.8492956867
41,10.00110292,626265,1.796636083
41,20.00061703,1230294,1.788768136
41,30.00077987,1847805,1.746927721
41,40.00140667,2431189,1.73536322
41,50.00252151,2962317,1.737551355
41,60.00107384,3399457,1.745988715
41,70.00044656,3712167,1.758746536
41,80.00121689,3818597,1.758998481
41,90.00060201,3818597,1.758998481
41,100.0031874,3818597,1.758998481
41,110.0023346,3818597,1.758998481
41,120.0018783,3818597,1.758998481
41,130.0010965,3818597,1.758998481
41,140.0040598,3839414,1.765440844
41,150.0021632,3855457,1.767392831
41,160.0011609,3894206,1.768608985
41,170.0016129,3936843,1.768539156
41,180.0031967,3956792,1.768708736
41,190.0021431,3975398,1.769227484
41,200.0000415,3993142,1.770217559
41,210.0008457,4039159,1.769591122
41,220.0029652,4093077,1.769800563
